#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0SA56|MLP1_CHATD   -          TPR_MLP1_2           PF07926.9    3.4e-38  129.3  32.8   3.4e-38  129.3  32.8  19.9   7   4  12  19  19  13   4 Protein MLP1 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MLP1 PE=3 SV=1
tr|G0S006|G0S006_CHATD -          TPR_MLP1_2           PF07926.9        6.3    5.6   0.5        19    4.1   0.5   1.7   1   0   0   1   1   1   0 SPX domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008280 PE=4 SV=1
tr|G0SHW3|G0SHW3_CHATD -          TPR_MLP1_2           PF07926.9        6.3    5.6   2.1        17    4.2   2.1   1.7   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0073590 PE=4 SV=1
tr|G0RZQ0|G0RZQ0_CHATD -          TPR_MLP1_2           PF07926.9        6.4    5.6   2.6        13    4.5   2.6   1.5   1   0   0   1   1   1   0 26S protease subunit RPT4 (26S protease subunit SUG2)-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003750 PE=3 SV=1
tr|G0S8G6|G0S8G6_CHATD -          TPR_MLP1_2           PF07926.9        6.4    5.5   0.8        22    3.8   0.8   1.9   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029810 PE=3 SV=1
tr|G0S056|G0S056_CHATD -          TPR_MLP1_2           PF07926.9        6.5    5.5   0.3        12    4.7   0.3   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008810 PE=4 SV=1
tr|G0SD53|G0SD53_CHATD -          TPR_MLP1_2           PF07926.9        6.8    5.5   0.7        13    4.5   0.7   1.4   1   0   0   1   1   1   0 Zn(2)-C6 fungal-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0050850 PE=4 SV=1
tr|G0RYV9|G0RYV9_CHATD -          TPR_MLP1_2           PF07926.9          7    5.4   0.2        11    4.9   0.2   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000750 PE=4 SV=1
tr|G0S3F4|G0S3F4_CHATD -          TPR_MLP1_2           PF07926.9          7    5.4   0.2        15    4.3   0.2   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020820 PE=4 SV=1
tr|G0SDK3|G0SDK3_CHATD -          TPR_MLP1_2           PF07926.9        7.3    5.4   2.3        11    4.8   2.3   1.3   1   0   0   1   1   1   0 BZIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0052090 PE=4 SV=1
tr|G0S327|G0S327_CHATD -          TPR_MLP1_2           PF07926.9        7.4    5.4   0.0        21    3.9   0.0   1.7   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0019430 PE=4 SV=1
tr|G0SG68|G0SG68_CHATD -          TPR_MLP1_2           PF07926.9        7.5    5.3   0.1       9.7    5.0   0.1   1.2   1   0   0   1   1   1   0 Putative ubiquitin carrier protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0065240 PE=4 SV=1
tr|G0S3I7|G0S3I7_CHATD -          TPR_MLP1_2           PF07926.9        7.6    5.3   0.5        15    4.4   0.5   1.4   1   0   0   1   1   1   0 Pyruvate decarboxylase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021400 PE=3 SV=1
tr|G0RZP3|G0RZP3_CHATD -          TPR_MLP1_2           PF07926.9        7.8    5.3   0.4        59    2.4   0.0   2.2   2   0   0   2   2   2   0 COP9 signalosome complex subunit 4 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003680 PE=3 SV=1
tr|G0S9E1|G0S9E1_CHATD -          TPR_MLP1_2           PF07926.9        7.8    5.3   2.9        10    4.9   2.9   1.2   1   0   0   1   1   1   0 Cytochrome c oxidase assembly-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045520 PE=3 SV=1
tr|G0S484|G0S484_CHATD -          TPR_MLP1_2           PF07926.9          8    5.3   4.5        22    3.8   4.5   1.8   1   0   0   1   1   1   0 PPR_long domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0031070 PE=4 SV=1
tr|G0S682|G0S682_CHATD -          TPR_MLP1_2           PF07926.9        8.2    5.2  17.6       3.5    6.4   7.7   3.0   2   1   1   3   3   3   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025820 PE=4 SV=1
tr|G0S5N1|G0S5N1_CHATD -          TPR_MLP1_2           PF07926.9        8.3    5.2   7.9        14    4.5   7.9   1.3   1   0   0   1   1   1   0 Protein AF-9 homolog OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=YAF9 PE=3 SV=1
tr|G0SAZ0|G0SAZ0_CHATD -          TPR_MLP1_2           PF07926.9        8.4    5.2   1.9        64    2.3   0.5   2.6   2   0   0   2   2   2   0 Putative phosphatidylinositol 4,5-bisphosphate protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048290 PE=4 SV=1
tr|G0S242|G0S242_CHATD -          TPR_MLP1_2           PF07926.9        8.5    5.2  11.6        30    3.4  11.3   2.0   1   1   1   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0015910 PE=4 SV=1
tr|G0S5C3|G0S5C3_CHATD -          TPR_MLP1_2           PF07926.9        8.5    5.2   1.3        19    4.0   0.4   1.9   1   1   1   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024300 PE=4 SV=1
tr|G0S3A9|G0S3A9_CHATD -          TPR_MLP1_2           PF07926.9        8.5    5.2   0.1        20    3.9   0.1   1.5   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020360 PE=4 SV=1
tr|G0S694|G0S694_CHATD -          TPR_MLP1_2           PF07926.9        8.7    5.1   0.0        11    4.8   0.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025940 PE=4 SV=1
tr|G0RYG6|G0RYG6_CHATD -          TPR_MLP1_2           PF07926.9        8.8    5.1   6.3        11    4.7   6.3   1.1   1   0   0   1   1   1   0 Biogenesis of lysosome-related organelles complex 1 subunit KXD1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006620 PE=3 SV=1
tr|G0S096|G0S096_CHATD -          TPR_MLP1_2           PF07926.9        8.8    5.1   0.8        13    4.6   0.8   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009240 PE=4 SV=1
tr|G0S0X2|G0S0X2_CHATD -          TPR_MLP1_2           PF07926.9          9    5.1   6.6       3.5    6.4   3.2   1.9   2   0   0   2   2   1   0 Putative pre-mRNA splicing factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011550 PE=4 SV=1
tr|G0S2Z3|G0S2Z3_CHATD -          TPR_MLP1_2           PF07926.9          9    5.1   2.7        18    4.1   2.8   1.3   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0019060 PE=4 SV=1
tr|G0S8G0|G0S8G0_CHATD -          TPR_MLP1_2           PF07926.9          9    5.1   0.3        14    4.5   0.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029750 PE=4 SV=1
tr|G0S5N7|G0S5N7_CHATD -          TPR_MLP1_2           PF07926.9        9.2    5.1   8.8        14    4.4   8.8   1.2   1   0   0   1   1   1   0 Putative transcription factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024920 PE=4 SV=1
tr|G0SA26|G0SA26_CHATD -          TPR_MLP1_2           PF07926.9        9.8    5.0  15.1        11    4.9  14.5   1.4   1   1   0   1   1   1   0 UCR_hinge domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040770 PE=3 SV=1
tr|G0RZC7|G0RZC7_CHATD -          TPR_MLP1_2           PF07926.9        9.9    4.9  23.2        17    4.2  22.6   1.7   1   1   0   1   1   1   0 Kinetochore protein SPC25 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002500 PE=3 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF07926.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/mtor.txt --max --cpu 8 hmm_profiles/PF07926.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu Sep 15 16:07:26 2022
# [ok]
