#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S235|NDC1_CHATD   -          Ndc1_Nup             PF09531.7   4.9e-184  612.1   0.0  5.5e-184  612.0   0.0   1.0   1   0   0   1   1   1   1 Nucleoporin NDC1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=NDC1 PE=3 SV=1
tr|G0S759|G0S759_CHATD -          Ndc1_Nup             PF09531.7        3.7    4.9   0.2       5.1    4.4   0.2   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027530 PE=4 SV=1
tr|G0S4Z0|G0S4Z0_CHATD -          Ndc1_Nup             PF09531.7        3.7    4.9   2.8       9.7    3.5   0.3   2.4   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032160 PE=4 SV=1
tr|G0SE88|G0SE88_CHATD -          Ndc1_Nup             PF09531.7        3.7    4.9   0.9       5.2    4.4   0.9   1.2   1   0   0   1   1   1   0 Mitochondrial import receptor subunit-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0062880 PE=4 SV=1
tr|G0S5W8|G0S5W8_CHATD -          Ndc1_Nup             PF09531.7        3.9    4.8   0.4       4.4    4.6   0.4   1.1   1   0   0   1   1   1   0 LysM domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025200 PE=4 SV=1
tr|G0S596|G0S596_CHATD -          Ndc1_Nup             PF09531.7        3.9    4.8   7.1      0.44    7.9   2.6   1.6   2   0   0   2   2   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032730 PE=4 SV=1
tr|G0S788|G0S788_CHATD -          Ndc1_Nup             PF09531.7        3.9    4.8   0.9       4.2    4.7   0.1   1.5   2   0   0   2   2   1   0 Putative GTP binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027820 PE=4 SV=1
tr|G0S2B0|G0S2B0_CHATD -          Ndc1_Nup             PF09531.7          4    4.8   7.8       5.2    4.4   7.8   1.1   1   0   0   1   1   1   0 tRNA (guanine(9)-N1)-methyltransferase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016600 PE=4 SV=1
tr|G0SDD2|G0SDD2_CHATD -          Ndc1_Nup             PF09531.7          4    4.8   0.0         5    4.4   0.0   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051370 PE=4 SV=1
tr|G0S0M7|G0S0M7_CHATD -          Ndc1_Nup             PF09531.7        4.1    4.7   0.3       4.5    4.6   0.3   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0010570 PE=4 SV=1
tr|G0SH50|G0SH50_CHATD -          Ndc1_Nup             PF09531.7        4.1    4.7   2.0       5.3    4.4   2.0   1.2   1   0   0   1   1   1   0 T5orf172 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0068700 PE=4 SV=1
tr|G0SF75|G0SF75_CHATD -          Ndc1_Nup             PF09531.7        4.3    4.7   2.1       4.2    4.7   2.1   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061060 PE=4 SV=1
tr|G0SEP3|G0SEP3_CHATD -          Ndc1_Nup             PF09531.7        4.3    4.7   0.6       5.2    4.4   0.6   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0064460 PE=4 SV=1
tr|G0SEX2|G0SEX2_CHATD -          Ndc1_Nup             PF09531.7        4.3    4.6   0.9       7.1    3.9   0.9   1.3   1   0   0   1   1   1   0 L-glutamate gamma-semialdehyde dehydrogenase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0060010 PE=3 SV=1
tr|G0SC35|G0SC35_CHATD -          Ndc1_Nup             PF09531.7        4.4    4.6   2.6       4.3    4.7   2.6   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0055770 PE=4 SV=1
tr|G0RY52|G0RY52_CHATD -          Ndc1_Nup             PF09531.7        4.7    4.5   4.4         1    6.7   1.2   1.5   2   0   0   2   2   1   0 2EXR domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0005450 PE=4 SV=1
tr|G0S4I0|G0S4I0_CHATD -          Ndc1_Nup             PF09531.7        4.8    4.5   3.1       6.6    4.0   3.1   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022900 PE=4 SV=1
tr|G0SA34|G0SA34_CHATD -          Ndc1_Nup             PF09531.7        4.9    4.5  10.5         7    4.0  10.5   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040850 PE=4 SV=1
tr|G0RZY8|G0RZY8_CHATD -          Ndc1_Nup             PF09531.7          5    4.5   3.5       5.1    4.4   3.5   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008100 PE=4 SV=1
tr|G0SBU3|G0SBU3_CHATD -          Ndc1_Nup             PF09531.7        5.1    4.4   7.2      0.46    7.9   2.5   1.5   2   0   0   2   2   1   0 Cyclin N-terminal domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054800 PE=4 SV=1
tr|G0SCU6|G0SCU6_CHATD -          Ndc1_Nup             PF09531.7        5.1    4.4   3.2         6    4.2   3.2   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058470 PE=4 SV=1
tr|G0S7S8|G0S7S8_CHATD -          Ndc1_Nup             PF09531.7        5.1    4.4   0.0       6.5    4.1   0.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028680 PE=4 SV=1
tr|G0S2E6|G0S2E6_CHATD -          Ndc1_Nup             PF09531.7        5.2    4.4   0.1        10    3.4   0.0   1.4   1   1   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016960 PE=4 SV=1
tr|G0SBU1|G0SBU1_CHATD -          Ndc1_Nup             PF09531.7        5.2    4.4   1.0         7    4.0   1.0   1.3   1   0   0   1   1   1   0 Serine/threonine protein kinase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054780 PE=4 SV=1
tr|G0RZT5|G0RZT5_CHATD -          Ndc1_Nup             PF09531.7        5.3    4.3   2.0       6.6    4.0   2.0   1.2   1   0   0   1   1   1   0 Putative transcription factor involved in RNA polymerase II transcription regulation OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004120 PE=4 SV=1
tr|G0S9W3|G0S9W3_CHATD -          Ndc1_Nup             PF09531.7        5.3    4.3   0.9       6.7    4.0   0.9   1.1   1   0   0   1   1   1   0 Putative mitotic spindle checkpoint component mad2 protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0047400 PE=3 SV=1
tr|G0S284|G0S284_CHATD -          Ndc1_Nup             PF09531.7        5.4    4.3   0.9       5.3    4.4   0.9   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016330 PE=4 SV=1
tr|G0SAP7|G0SAP7_CHATD -          Ndc1_Nup             PF09531.7        5.4    4.3   8.9         2    5.8   0.3   2.7   2   1   1   3   3   3   0 Putative cytochrome c oxidase assembly protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043040 PE=3 SV=1
tr|G0S5I3|G0S5I3_CHATD -          Ndc1_Nup             PF09531.7        5.5    4.3   5.1       7.6    3.8   5.1   1.2   1   0   0   1   1   1   0 CUE domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033060 PE=4 SV=1
tr|G0S549|G0S549_CHATD -          Ndc1_Nup             PF09531.7        5.5    4.3   0.2       7.7    3.8   0.2   1.1   1   0   0   1   1   1   0 zf-Mss51 domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024080 PE=4 SV=1
tr|G0SHR9|G0SHR9_CHATD -          Ndc1_Nup             PF09531.7        5.8    4.2   1.6       7.8    3.8   1.6   1.1   1   0   0   1   1   1   0 2EXR domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0073140 PE=4 SV=1
tr|G0SGF0|G0SGF0_CHATD -          Ndc1_Nup             PF09531.7        6.1    4.2   0.3       6.5    4.1   0.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066090 PE=4 SV=1
tr|G0S3I6|G0S3I6_CHATD -          Ndc1_Nup             PF09531.7        6.1    4.1   1.1       7.1    3.9   1.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021390 PE=4 SV=1
tr|G0S412|G0S412_CHATD -          Ndc1_Nup             PF09531.7        6.2    4.1   2.3       6.6    4.0   2.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022170 PE=4 SV=1
tr|G0RZC7|G0RZC7_CHATD -          Ndc1_Nup             PF09531.7        6.2    4.1   0.1       5.9    4.2   0.1   1.1   1   0   0   1   1   1   0 Kinetochore protein SPC25 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002500 PE=3 SV=1
tr|G0S8S4|G0S8S4_CHATD -          Ndc1_Nup             PF09531.7        6.3    4.1   0.3       9.5    3.5   0.3   1.3   1   0   0   1   1   1   0 Zn(2)-C6 fungal-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040160 PE=4 SV=1
tr|G0SGS0|G0SGS0_CHATD -          Ndc1_Nup             PF09531.7        6.3    4.1   3.5       7.4    3.9   3.5   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067340 PE=4 SV=1
tr|G0S5X0|G0S5X0_CHATD -          Ndc1_Nup             PF09531.7        6.4    4.1   0.2       7.2    3.9   0.2   1.1   1   0   0   1   1   1   0 Dolichol phosphate-mannose biosynthesis regulatory protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025220 PE=3 SV=1
tr|G0S882|G0S882_CHATD -          Ndc1_Nup             PF09531.7        6.4    4.1   8.1       9.6    3.5   8.1   1.2   1   0   0   1   1   1   0 Putative chromatin structure remodeling complex protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037900 PE=3 SV=1
tr|G0SEI2|G0SEI2_CHATD -          Ndc1_Nup             PF09531.7        6.4    4.1   2.0        12    3.2   2.0   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0063840 PE=4 SV=1
tr|G0S3Q8|G0S3Q8_CHATD -          Ndc1_Nup             PF09531.7        6.4    4.1   1.0         7    4.0   1.0   1.1   1   0   0   1   1   1   0 SAP30_Sin3_bdg domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0030280 PE=3 SV=1
tr|G0S292|G0S292_CHATD -          Ndc1_Nup             PF09531.7        6.5    4.1   2.7       7.7    3.8   2.7   1.0   1   0   0   1   1   1   0 Mediator of RNA polymerase II transcription subunit 9 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=MED9 PE=1 SV=1
tr|G0SCD6|G0SCD6_CHATD -          Ndc1_Nup             PF09531.7        6.6    4.0   4.7       7.7    3.8   4.7   1.4   1   0   0   1   1   1   0 Restriction of telomere capping protein 4 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056840 PE=3 SV=1
tr|G0S1Z6|G0S1Z6_CHATD -          Ndc1_Nup             PF09531.7        6.7    4.0   0.1       7.4    3.9   0.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0015410 PE=4 SV=1
tr|G0SC97|G0SC97_CHATD -          Ndc1_Nup             PF09531.7        6.8    4.0   0.2         7    4.0   0.2   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056440 PE=3 SV=1
tr|G0SH90|G0SH90_CHATD -          Ndc1_Nup             PF09531.7        6.8    4.0   0.2        11    3.3   0.2   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0069140 PE=4 SV=1
tr|G0SDT6|G0SDT6_CHATD -          Ndc1_Nup             PF09531.7        6.9    4.0   6.6        10    3.4   6.6   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0052940 PE=4 SV=1
tr|G0SA55|G0SA55_CHATD -          Ndc1_Nup             PF09531.7        6.9    4.0   6.2       8.9    3.6   6.2   1.1   1   0   0   1   1   1   0 Putative sequence-specific DNA binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041060 PE=4 SV=1
tr|G0S0T4|G0S0T4_CHATD -          Ndc1_Nup             PF09531.7        7.3    3.9   0.5        10    3.4   0.5   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011160 PE=4 SV=1
tr|G0S384|G0S384_CHATD -          Ndc1_Nup             PF09531.7        7.3    3.9   3.4       8.3    3.7   3.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020060 PE=3 SV=1
tr|G0S4K2|G0S4K2_CHATD -          Ndc1_Nup             PF09531.7        7.3    3.9   1.1       8.3    3.7   1.1   1.1   1   0   0   1   1   1   0 Small glutamine-rich tetratricopeptide repeat-containing protein 2-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0031300 PE=3 SV=1
tr|G0S4B9|G0S4B9_CHATD -          Ndc1_Nup             PF09531.7        7.3    3.9   0.2        11    3.3   0.2   1.3   1   0   0   1   1   1   0 PLDc_N domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0039620 PE=4 SV=1
tr|G0SF03|G0SF03_CHATD -          Ndc1_Nup             PF09531.7        7.4    3.9   3.5       7.6    3.8   3.5   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0060330 PE=4 SV=1
tr|G0SFI9|G0SFI9_CHATD -          Ndc1_Nup             PF09531.7        7.4    3.9   6.1        11    3.3   6.1   1.2   1   0   0   1   1   1   0 Protein kinase domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071000 PE=4 SV=1
tr|G0SFH3|G0SFH3_CHATD -          Ndc1_Nup             PF09531.7        7.7    3.8   0.3        13    3.1   0.0   1.4   2   0   0   2   2   1   0 Zn(2)-C6 fungal-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0070820 PE=4 SV=1
tr|G0RYX3|G0RYX3_CHATD -          Ndc1_Nup             PF09531.7        7.8    3.8   0.1        13    3.1   0.1   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0000900 PE=4 SV=1
tr|G0SBP7|G0SBP7_CHATD -          Ndc1_Nup             PF09531.7          8    3.8   0.4        11    3.3   0.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054330 PE=3 SV=1
tr|G0S8U4|G0S8U4_CHATD -          Ndc1_Nup             PF09531.7        8.1    3.7   0.2        12    3.2   0.2   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043450 PE=3 SV=1
tr|G0S2Y6|G0S2Y6_CHATD -          Ndc1_Nup             PF09531.7        8.3    3.7   2.4       9.3    3.6   2.4   1.1   1   0   0   1   1   1   0 Cytochrome c oxidase assembly protein COX20, mitochondrial OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018950 PE=3 SV=1
tr|G0S5M0|G0S5M0_CHATD -          Ndc1_Nup             PF09531.7        8.3    3.7   9.3        11    3.3   9.3   1.1   1   0   0   1   1   1   0 L-type lectin-like domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0024750 PE=4 SV=1
tr|G0SD20|G0SD20_CHATD -          Ndc1_Nup             PF09531.7        8.4    3.7   0.7        11    3.3   0.7   1.1   1   0   0   1   1   1   0 GTP cyclohydrolase 1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0050480 PE=3 SV=1
tr|G0RZV4|G0RZV4_CHATD -          Ndc1_Nup             PF09531.7        8.5    3.7   4.3        10    3.4   4.3   1.2   1   0   0   1   1   1   0 t-SNARE coiled-coil homology domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004340 PE=4 SV=1
tr|G0SCK5|G0SCK5_CHATD -          Ndc1_Nup             PF09531.7        8.5    3.7   0.0        57    1.0   0.6   1.7   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057560 PE=4 SV=1
tr|G0S7L5|G0S7L5_CHATD -          Ndc1_Nup             PF09531.7        8.6    3.7   1.3        11    3.3   1.3   1.1   1   0   0   1   1   1   0 PCI domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036760 PE=4 SV=1
tr|G0SD89|G0SD89_CHATD -          Ndc1_Nup             PF09531.7        8.6    3.7   0.4        21    2.4   0.4   1.5   1   0   0   1   1   1   0 Histidine kinase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0050920 PE=4 SV=1
tr|G0S291|G0S291_CHATD -          Ndc1_Nup             PF09531.7        8.7    3.6   0.0        13    3.1   0.0   1.1   1   0   0   1   1   1   0 Tubulin folding cofactor C-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0016400 PE=3 SV=1
tr|G0S0B5|G0S0B5_CHATD -          Ndc1_Nup             PF09531.7        8.7    3.6   2.5        12    3.2   2.5   1.3   1   0   0   1   1   1   0 Translocation protein (Sec66)-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009430 PE=1 SV=1
tr|G0S888|G0S888_CHATD -          Ndc1_Nup             PF09531.7        8.7    3.6   0.7        10    3.4   0.7   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037960 PE=4 SV=1
tr|G0S8V6|G0S8V6_CHATD -          Ndc1_Nup             PF09531.7        8.8    3.6   0.2       7.8    3.8   0.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043570 PE=4 SV=1
tr|G0S6L8|G0S6L8_CHATD -          Ndc1_Nup             PF09531.7        8.9    3.6   5.4        17    2.7   2.1   2.0   2   0   0   2   2   2   0 Enhancer of mRNA-decapping protein 3 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026670 PE=3 SV=1
tr|G0S2F1|G0S2F1_CHATD -          Ndc1_Nup             PF09531.7        9.1    3.6   0.6        17    2.7   0.6   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0017010 PE=4 SV=1
tr|G0SAE5|G0SAE5_CHATD -          Ndc1_Nup             PF09531.7        9.2    3.6   2.9        10    3.4   2.9   1.1   1   0   0   1   1   1   0 GTP cyclohydrolase-2-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041990 PE=3 SV=1
tr|G0SFU7|G0SFU7_CHATD -          Ndc1_Nup             PF09531.7        9.2    3.6   0.9        13    3.1   0.9   1.2   1   0   0   1   1   1   0 Sorting nexin MVP1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0072190 PE=3 SV=1
tr|G0S4S5|G0S4S5_CHATD -          Ndc1_Nup             PF09531.7        9.2    3.6   2.2        23    2.2   2.2   1.6   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0023360 PE=4 SV=1
tr|G0S7E7|G0S7E7_CHATD -          Ndc1_Nup             PF09531.7        9.3    3.6   2.0        13    3.1   2.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036590 PE=4 SV=1
tr|G0RZB9|G0RZB9_CHATD -          Ndc1_Nup             PF09531.7        9.3    3.6  11.9        15    2.9  11.9   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002420 PE=4 SV=1
tr|G0SDW9|G0SDW9_CHATD -          Ndc1_Nup             PF09531.7        9.5    3.5   0.2        14    3.0   0.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053280 PE=4 SV=1
tr|G0S1E7|G0S1E7_CHATD -          Ndc1_Nup             PF09531.7        9.7    3.5   8.2        12    3.2   8.2   1.1   1   0   0   1   1   1   0 D-arabinitol dehydrogenase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0013330 PE=3 SV=1
tr|G0S8C8|G0S8C8_CHATD -          Ndc1_Nup             PF09531.7        9.8    3.5   0.4        12    3.1   0.4   1.1   1   0   0   1   1   1   0 Putative heat shock protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021290 PE=3 SV=1
tr|G0S6J1|G0S6J1_CHATD -          Ndc1_Nup             PF09531.7        9.9    3.5   0.1       9.5    3.5   0.1   1.0   1   0   0   1   1   1   0 NADH-ubiquinone oxidoreductase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026400 PE=4 SV=1
#
# Program:         hmmsearch
# Version:         3.2.1 (June 2018)
# Pipeline mode:   SEARCH
# Query file:      hmm_profiles/PF09531.hmm
# Target file:     /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta
# Option settings: hmmsearch --tblout proteomes_max_unmasked/CTHE/ndc1.txt --max --cpu 8 hmm_profiles/PF09531.hmm /Users/Andreas/Desktop/Project/Proteomes/unmasked/CTHE.fasta 
# Current dir:     /Users/Andreas/Desktop/Project/compare_profiles
# Date:            Thu Sep 15 16:19:46 2022
# [ok]
