#                                                                 --- full sequence ---- --- best 1 domain ---- --- domain number estimation ----
# target name          accession  query name           accession    E-value  score  bias   E-value  score  bias   exp reg clu  ov env dom rep inc description of target
#  ------------------- ---------- -------------------- ---------- --------- ------ ----- --------- ------ -----   --- --- --- --- --- --- --- --- ---------------------
sp|G0S7F3|GLE1_CHATD   -          gle1                 -              4e-71  238.5  19.4     4e-59  198.9   0.0   3.0   2   1   1   3   3   3   3 mRNA export factor GLE1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=GLE1 PE=1 SV=1
tr|G0SDK3|G0SDK3_CHATD -          gle1                 -                2.5    4.9   5.6         3    4.6   5.6   1.1   1   0   0   1   1   1   0 BZIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0052090 PE=4 SV=1
tr|G0S4G5|G0S4G5_CHATD -          gle1                 -                2.6    4.8  12.5       4.9    3.9  12.5   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022730 PE=4 SV=1
tr|G0SBA9|G0SBA9_CHATD -          gle1                 -                2.6    4.8   0.2       5.2    3.8   0.2   1.4   1   0   0   1   1   1   0 Zn(2)-C6 fungal-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0049560 PE=4 SV=1
tr|G0SBN5|G0SBN5_CHATD -          gle1                 -                2.6    4.8  18.7       3.3    4.5  18.7   1.1   1   0   0   1   1   1   0 Tubulin-specific chaperone A OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0054210 PE=3 SV=1
tr|G0SAY2|G0SAY2_CHATD -          gle1                 -                2.7    4.8   8.5       4.5    4.0   8.5   1.3   1   0   0   1   1   1   0 Histone H2B OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048210 PE=3 SV=1
tr|G0S3K1|G0S3K1_CHATD -          gle1                 -                2.7    4.8  41.0       5.9    3.6  41.0   1.5   1   0   0   1   1   1   0 Calcium-dependent cysteine-type endopeptidase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021540 PE=3 SV=1
tr|G0S679|G0S679_CHATD -          gle1                 -                  3    4.6   1.6       4.8    3.9   1.6   1.3   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025790 PE=3 SV=1
tr|G0RYH2|G0RYH2_CHATD -          gle1                 -                3.1    4.6  20.2       4.3    4.1  20.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006680 PE=4 SV=1
tr|G0SFA9|G0SFA9_CHATD -          gle1                 -                3.4    4.4  12.8         4    4.2  12.8   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061400 PE=4 SV=1
tr|G0SCN5|G0SCN5_CHATD -          gle1                 -                3.5    4.4  14.5       5.2    3.8  14.5   1.2   1   0   0   1   1   1   0 Putative peroxisome biosynthesis protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057860 PE=4 SV=1
tr|G0SEE7|G0SEE7_CHATD -          gle1                 -                3.5    4.4  41.8     0.026   11.4  17.8   2.2   2   0   0   2   2   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0063480 PE=4 SV=1
tr|G0S148|G0S148_CHATD -          gle1                 -                3.5    4.4   2.5       3.6    4.3   2.5   1.2   1   0   0   1   1   1   0 Negative cofactor 2 complex subunit beta-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0012330 PE=4 SV=1
tr|G0SD57|G0SD57_CHATD -          gle1                 -                3.5    4.4   7.8       5.5    3.8   7.8   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0059030 PE=3 SV=1
tr|G0S9E2|G0S9E2_CHATD -          gle1                 -                3.6    4.4  25.1       3.8    4.3  25.1   1.0   1   0   0   1   1   1   0 V-type proton ATPase subunit G OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045530 PE=3 SV=1
tr|G0SF98|G0SF98_CHATD -          gle1                 -                3.6    4.4  14.0       6.3    3.6  14.0   1.3   1   0   0   1   1   1   0 Serine/threonine-protein phosphatase 2A 56 kDa regulatory subunit OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061290 PE=3 SV=1
tr|G0S6E4|G0S6E4_CHATD -          gle1                 -                3.6    4.3   9.3       4.3    4.1   9.3   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034620 PE=3 SV=1
tr|G0SAA4|G0SAA4_CHATD -          gle1                 -                3.6    4.3   6.3       5.4    3.8   6.3   1.2   1   0   0   1   1   1   0 Putative arsenite transmembrane transporter protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041550 PE=4 SV=1
tr|G0SGU0|G0SGU0_CHATD -          gle1                 -                3.7    4.3  26.6       6.1    3.6  26.6   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067550 PE=4 SV=1
tr|G0SCM6|G0SCM6_CHATD -          gle1                 -                3.7    4.3  11.1         5    3.9  11.1   1.2   1   0   0   1   1   1   0 Calcium/calmodulin-dependent protein kinase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057770 PE=3 SV=1
tr|G0S067|G0S067_CHATD -          gle1                 -                3.7    4.3   1.1       6.3    3.6   1.1   1.3   1   0   0   1   1   1   0 Origin recognition complex subunit 1 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0008920 PE=3 SV=1
tr|G0S9E1|G0S9E1_CHATD -          gle1                 -                3.8    4.3   2.4       4.1    4.2   2.4   1.0   1   0   0   1   1   1   0 Cytochrome c oxidase assembly-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0045520 PE=3 SV=1
tr|G0SHV7|G0SHV7_CHATD -          gle1                 -                3.8    4.3   9.2       5.1    3.8   9.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0073530 PE=4 SV=1
tr|G0S5V0|G0S5V0_CHATD -          gle1                 -                3.8    4.3  18.4       5.6    3.7  18.4   1.1   1   0   0   1   1   1   0 RNA recognition motif-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033710 PE=4 SV=1
tr|G0SHK4|G0SHK4_CHATD -          gle1                 -                3.9    4.2  15.3       7.7    3.3  15.3   1.4   1   0   0   1   1   1   0 Exportin-T OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0070330 PE=3 SV=1
tr|G0SDF4|G0SDF4_CHATD -          gle1                 -                4.1    4.2  44.6       5.8    3.7  44.6   1.1   1   0   0   1   1   1   0 OTU domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051590 PE=4 SV=1
tr|G0S0E2|G0S0E2_CHATD -          gle1                 -                4.1    4.2  15.2       5.8    3.7  15.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009700 PE=4 SV=1
tr|G0S4E4|G0S4E4_CHATD -          gle1                 -                4.1    4.2   0.2       5.5    3.7   0.2   1.1   1   0   0   1   1   1   0 CBFD_NFYB_HMF domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022520 PE=4 SV=1
tr|G0S0X2|G0S0X2_CHATD -          gle1                 -                4.3    4.1   7.8        11    2.8   7.8   1.6   1   0   0   1   1   1   0 Putative pre-mRNA splicing factor OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0011550 PE=4 SV=1
tr|G0S6U1|G0S6U1_CHATD -          gle1                 -                4.3    4.1  16.8       6.1    3.6  16.8   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026870 PE=4 SV=1
tr|G0RYN4|G0RYN4_CHATD -          gle1                 -                4.4    4.1  16.8       6.5    3.5  16.8   1.2   1   0   0   1   1   1   0 Non-specific serine/threonine protein kinase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0007310 PE=3 SV=1
tr|G0SA55|G0SA55_CHATD -          gle1                 -                4.4    4.1   0.3       5.3    3.8   0.3   1.1   1   0   0   1   1   1   0 Putative sequence-specific DNA binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041060 PE=4 SV=1
tr|G0S5X6|G0S5X6_CHATD -          gle1                 -                4.4    4.1   4.2       6.6    3.5   4.2   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0025280 PE=4 SV=1
tr|G0S7N6|G0S7N6_CHATD -          gle1                 -                4.5    4.0  56.2     0.037   10.9  20.1   2.2   2   0   0   2   2   2   0 Probable kinetochore protein NUF2 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036970 PE=3 SV=1
tr|G0S4M4|G0S4M4_CHATD -          gle1                 -                4.5    4.0  15.0       7.7    3.3  15.0   1.3   1   0   0   1   1   1   0 N-terminal acetyltransferase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0031530 PE=1 SV=1
tr|G0RYH8|G0RYH8_CHATD -          gle1                 -                4.6    4.0   5.8       6.8    3.4   5.8   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006740 PE=4 SV=1
tr|G0S4I7|G0S4I7_CHATD -          gle1                 -                4.6    4.0  25.4       5.8    3.7  25.4   1.0   1   0   0   1   1   1   0 Putative pre-mRNA splicing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0022970 PE=3 SV=1
tr|G0SGF0|G0SGF0_CHATD -          gle1                 -                4.7    4.0   1.2       5.3    3.8   1.2   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066090 PE=4 SV=1
tr|G0RZN5|G0RZN5_CHATD -          gle1                 -                4.8    4.0   1.5       6.6    3.5   1.5   1.1   1   0   0   1   1   1   0 BZIP domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0003600 PE=4 SV=1
tr|G0RY06|G0RY06_CHATD -          gle1                 -                4.8    3.9   3.7       4.7    4.0   3.7   1.1   1   0   0   1   1   1   0 EKC/KEOPS complex subunit GON7 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0004960 PE=3 SV=1
tr|G0S8M4|G0S8M4_CHATD -          gle1                 -                4.9    3.9   2.8       7.7    3.3   2.8   1.2   1   0   0   1   1   1   0 Reticulon-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0038600 PE=4 SV=1
tr|G0RZC2|G0RZC2_CHATD -          gle1                 -                  5    3.9  18.7       7.7    3.3  18.7   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0002450 PE=4 SV=1
tr|G0S7A3|G0S7A3_CHATD -          gle1                 -                  5    3.9   2.9       8.5    3.1   2.9   1.3   1   0   0   1   1   1   0 Proline--tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0036140 PE=3 SV=1
tr|G0S8Z0|G0S8Z0_CHATD -          gle1                 -                5.2    3.8  44.5     0.025   11.5  35.4   1.6   2   0   0   2   2   1   0 SP-RING-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0043940 PE=3 SV=1
tr|G0SA26|G0SA26_CHATD -          gle1                 -                5.3    3.8  21.7       5.8    3.7  21.7   1.0   1   0   0   1   1   1   0 UCR_hinge domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040770 PE=3 SV=1
tr|G0S7R2|G0S7R2_CHATD -          gle1                 -                5.3    3.8   0.3       8.5    3.1   0.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028520 PE=4 SV=1
tr|G0SAH3|G0SAH3_CHATD -          gle1                 -                5.6    3.7  10.0       9.4    3.0  10.0   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0042290 PE=4 SV=1
tr|G0SGK8|G0SGK8_CHATD -          gle1                 -                5.8    3.7  15.1       9.8    2.9  15.1   1.3   1   0   0   1   1   1   0 AP-3 complex subunit delta OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0066690 PE=3 SV=1
tr|G0S4X9|G0S4X9_CHATD -          gle1                 -                5.8    3.7   2.3       6.5    3.5   2.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032050 PE=4 SV=1
tr|G0SCB1|G0SCB1_CHATD -          gle1                 -                5.9    3.7  31.1       6.5    3.5  31.1   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056590 PE=4 SV=1
tr|G0S803|G0S803_CHATD -          gle1                 -                5.9    3.6  43.3      0.14    9.0  31.3   2.7   3   0   0   3   3   3   0 SUN domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0037630 PE=4 SV=1
tr|G0RYA6|G0RYA6_CHATD -          gle1                 -                5.9    3.6   8.9       8.7    3.1   8.9   1.2   1   0   0   1   1   1   0 PUM-HD domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006010 PE=4 SV=1
tr|G0S733|G0S733_CHATD -          gle1                 -                  6    3.6   1.2       5.9    3.6   1.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035980 PE=4 SV=1
tr|G0SA50|G0SA50_CHATD -          gle1                 -                6.1    3.6   0.3       8.8    3.1   0.3   1.1   1   0   0   1   1   1   0 Putative control protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0041010 PE=4 SV=1
tr|G0SC95|G0SC95_CHATD -          gle1                 -                6.1    3.6  26.3       7.7    3.3  26.3   1.1   1   0   0   1   1   1   0 Mago-bind domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056420 PE=3 SV=1
tr|G0S8Q9|G0S8Q9_CHATD -          gle1                 -                6.2    3.6   6.2        10    2.9   6.2   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0040010 PE=4 SV=1
tr|G0S579|G0S579_CHATD -          gle1                 -                6.3    3.6   3.9        12    2.6   3.9   1.4   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032550 PE=4 SV=1
tr|G0S6M0|G0S6M0_CHATD -          gle1                 -                6.3    3.5  28.3       0.8    6.5  24.3   1.4   2   0   0   2   2   1   0 Methionine--tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026690 PE=3 SV=1
tr|G0RYB1|G0RYB1_CHATD -          gle1                 -                6.3    3.5   3.2       7.9    3.2   3.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0006060 PE=4 SV=1
tr|G0S573|G0S573_CHATD -          gle1                 -                6.3    3.5  35.0        10    2.8  35.0   1.2   1   0   0   1   1   1   0 Putative rRNA binding protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0032490 PE=3 SV=1
tr|G0SFK2|G0SFK2_CHATD -          gle1                 -                6.4    3.5  16.2       9.3    3.0  16.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0071130 PE=4 SV=1
tr|G0S3X7|G0S3X7_CHATD -          gle1                 -                6.5    3.5  15.7       8.9    3.1  15.7   1.1   1   0   0   1   1   1   0 RNA exonuclease 4 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0039240 PE=3 SV=1
tr|G0S4B5|G0S4B5_CHATD -          gle1                 -                6.6    3.5   2.2       6.4    3.5   2.2   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0039580 PE=4 SV=1
tr|G0S5I3|G0S5I3_CHATD -          gle1                 -                6.7    3.5   0.4       9.4    3.0   0.4   1.3   1   0   0   1   1   1   0 CUE domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0033060 PE=4 SV=1
tr|G0S6I4|G0S6I4_CHATD -          gle1                 -                6.7    3.5   3.4       9.3    3.0   3.4   1.1   1   0   0   1   1   1   0 Coatomer subunit delta OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0026330 PE=1 SV=1
tr|G0S9K5|G0S9K5_CHATD -          gle1                 -                6.7    3.5  18.8       8.5    3.1  18.8   1.1   1   0   0   1   1   1   0 mRNA stability protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0046210 PE=3 SV=1
tr|G0S1W0|G0S1W0_CHATD -          gle1                 -                6.7    3.5   3.4       8.5    3.1   3.4   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0015020 PE=4 SV=1
tr|G0S2U6|G0S2U6_CHATD -          gle1                 -                6.7    3.5   8.1       7.3    3.3   8.1   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0018530 PE=3 SV=1
tr|G0S761|G0S761_CHATD -          gle1                 -                6.8    3.5   8.9       7.9    3.2   8.9   1.1   1   0   0   1   1   1   0 H/ACA ribonucleoprotein complex subunit NOP10 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027550 PE=3 SV=1
tr|G0SI20|G0SI20_CHATD -          gle1                 -                6.9    3.4  28.1        22    1.8  28.1   1.8   1   0   0   1   1   1   0 Structure-specific endonuclease subunit SLX4 OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=SLX4 PE=3 SV=1
tr|G0S1E7|G0S1E7_CHATD -          gle1                 -                6.9    3.4  16.5        10    2.8  16.5   1.2   1   0   0   1   1   1   0 D-arabinitol dehydrogenase-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0013330 PE=3 SV=1
tr|G0S728|G0S728_CHATD -          gle1                 -                6.9    3.4   4.1       9.9    2.9   4.1   1.2   1   0   0   1   1   1   0 GPN-loop GTPase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0035930 PE=3 SV=1
tr|G0SI32|G0SI32_CHATD -          gle1                 -                  7    3.4  11.7       9.8    2.9  11.7   1.1   1   0   0   1   1   1   0 Putative UV radiation resistance protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0074310 PE=4 SV=1
tr|G0S7G7|G0S7G7_CHATD -          gle1                 -                7.1    3.4   0.0        12    2.7   0.0   1.2   1   0   0   1   1   1   0 Phosphoglycerate dehydrogenase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0028080 PE=3 SV=1
tr|G0S6N3|G0S6N3_CHATD -          gle1                 -                7.1    3.4  26.1        11    2.7  26.1   1.3   1   0   0   1   1   1   0 FAM192A_Fyv6_N domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034990 PE=4 SV=1
tr|G0SCH2|G0SCH2_CHATD -          gle1                 -                7.3    3.4  17.8        15    2.3  17.8   1.4   1   0   0   1   1   1   0 Arginine N-methyltransferase 2-like protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0057220 PE=4 SV=1
tr|G0SCE9|G0SCE9_CHATD -          gle1                 -                7.3    3.3  21.6        10    2.8  21.6   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0056970 PE=4 SV=1
tr|G0S0G6|G0S0G6_CHATD -          gle1                 -                7.3    3.3  31.8       1.2    5.9  21.7   2.1   2   0   0   2   2   2   0 BHLH domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0009950 PE=4 SV=1
tr|G0S454|G0S454_CHATD -          gle1                 -                7.4    3.3   6.4       7.1    3.4   6.4   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0030750 PE=4 SV=1
tr|G0SFZ8|G0SFZ8_CHATD -          gle1                 -                7.4    3.3   2.6       8.2    3.2   2.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0072730 PE=4 SV=1
tr|G0SDC0|G0SDC0_CHATD -          gle1                 -                7.6    3.3   5.7        23    1.7   5.7   1.8   1   0   0   1   1   1   0 Putative hmp1 protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0051240 PE=4 SV=1
tr|G0SB26|G0SB26_CHATD -          gle1                 -                7.6    3.3  17.3        13    2.6  17.3   1.2   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0048650 PE=4 SV=1
tr|G0S849|G0S849_CHATD -          gle1                 -                7.6    3.3   1.8        14    2.4   1.8   1.4   1   0   0   1   1   1   0 Zn(2)-C6 fungal-type domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0029370 PE=4 SV=1
tr|G0SF96|G0SF96_CHATD -          gle1                 -                7.9    3.2   5.6       8.9    3.1   5.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0061270 PE=4 SV=1
tr|G0S386|G0S386_CHATD -          gle1                 -                7.9    3.2  21.6        11    2.8  21.6   1.1   1   0   0   1   1   1   0 EVE domain-containing protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0020080 PE=4 SV=1
tr|G0S3H5|G0S3H5_CHATD -          gle1                 -                  8    3.2  17.6       9.3    3.0  17.6   1.0   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0021060 PE=4 SV=1
tr|G0S6G2|G0S6G2_CHATD -          gle1                 -                  8    3.2   2.1        18    2.0   2.1   1.5   1   0   0   1   1   1   0 tRNA ligase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0034810 PE=1 SV=1
tr|G0S6X8|G0S6X8_CHATD -          gle1                 -                8.1    3.2   6.3        12    2.6   6.3   1.1   1   0   0   1   1   1   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0027240 PE=4 SV=1
tr|G0SGT2|G0SGT2_CHATD -          gle1                 -                8.1    3.2  49.1    0.0013   15.7  33.3   2.3   3   0   0   3   3   2   0 Uncharacterized protein OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0067470 PE=4 SV=1
tr|G0SBJ2|G0SBJ2_CHATD -          gle1                 -                8.1    3.2   3.3        11    2.7   3.3   1.1   1   0   0   1   1   1   0 Histone deacetylase OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0053770 PE=3 SV=1
tr|G0SCS3|G0SCS3_CHATD -          gle1                 -                8.1    3.2   3.6       9.5    3.0   3.6   1.0   1   0   0   1   1   1   0 Dynein light chain OS=Chaetomium thermophilum (strain DSM 1495 / CBS 144.50 / IMI 039719) OX=759272 GN=CTHT_0058240 PE=3 SV=1
